City,Region,Country,AirQuality,WaterPollution
Sanaa,,Yemen,41.66666667,91.66666667
Ivanovo,IvanovoOblast,Russia,33.33333333,87.5
Naples,Campania,Italy,28.84615385,55.31914894
Palermo,Sicily,Italy,45.45454545,51.31578947
Gomel,GomelRegion,Belarus,44.73684211,53.57142857
Parma,Emilia-Romagna,Italy,34.375,56.81818182
Vladimir,VladimirOblast,Russia,37.5,50
Pescara,Abruzzo,Italy,61.11111111,79.16666667
Bremerhaven,,Germany,75,50
Münster,NorthRhine-Westphalia,Germany,71.875,25
Ryazan,RyazanOblast,Russia,0,91.66666667
Augsburg,Bavaria,Germany,73.52941176,26.92307692
Siena,Tuscany,Italy,81.25,21.42857143
Gelsenkirchen,NorthRhine-Westphalia,Germany,62.5,50
Tula,TulaOblast,Russia,33.33333333,75
Udine,Friuli-VeneziaGiulia,Italy,72.5,33.33333333
Chemnitz,Saxony,Germany,87.5,50
Krefeld,NorthRhine-Westphalia,Germany,87.5,50
Madrid,CommunityofMadrid,Spain,36.23417722,18.95424837
Halle(Saale),Saxony-Anhalt,Germany,75,0
FreiburgimBreisgau,Baden-Wurttemberg,Germany,88.33333333,5
Oberhausen,NorthRhine-Westphalia,Germany,62.5,50
Bogota,,Colombia,23.35025381,48.15789474
Lübeck,Schleswig-Holstein,Germany,100,25
Brasilia,FederalDistrict,Brazil,76.53061224,38.04347826
Rostock,Mecklenburg-WesternPomerania,Germany,90.625,37.5
Kassel,Hesse,Germany,75,50
Lima,Limaregion,Peru,19.75,76.04166667
Hagen,NorthRhine-Westphalia,Germany,100,50
Hamm,NorthRhine-Westphalia,Germany,87.5,50
Santiago,SantiagoMetropolitanRegion,Chile,17.71523179,40.23972603
Quito,PichinchaProvince,Ecuador,35.86956522,53.07692308
Ludwigshafen,Rhineland-Palatinate,Germany,75,0
Osnabrück,LowerSaxony,Germany,82.14285714,0
Asuncion,CapitalDistrict,Paraguay,39.65517241,67
Oldenburg,LowerSaxony,Germany,75,18.75
Leverkusen,NorthRhine-Westphalia,Germany,83.33333333,50
